,Unnamed: 0,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,year,year_month,year_month_day,year_month_day_hour,year_month_day_hour_min,time,week_day,am_or_pm,dawn,sunrise,noon,sunset,dusk,capital
0,0,489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
1,1,489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
2,2,489434,79323W, WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
3,3,489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2009-12-01 07:45:00,2.1,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
4,4,489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
5,5,489434,22064,PINK DOUGHNUT TRINKET POT ,24,2009-12-01 07:45:00,1.65,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
6,6,489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
7,7,489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
8,8,489435,22350,CAT BOWL ,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
9,9,489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
10,10,489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
11,11,489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
12,12,489436,48173C,DOOR MAT BLACK FLOCK ,10,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
13,13,489436,21755,LOVE BUILDING BLOCK WORD,18,2009-12-01 09:06:00,5.45,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
14,14,489436,21754,HOME BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
15,15,489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2009-12-01 09:06:00,1.69,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
16,16,489436,22119, PEACE WOODEN BLOCK LETTERS,3,2009-12-01 09:06:00,6.95,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
17,17,489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,2009-12-01 09:06:00,1.45,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
18,18,489436,22296,HEART IVORY TRELLIS LARGE,12,2009-12-01 09:06:00,1.65,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
19,19,489436,22295,HEART FILIGREE DOVE LARGE,12,2009-12-01 09:06:00,1.65,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
20,20,489436,22109,FULL ENGLISH BREAKFAST PLATE,16,2009-12-01 09:06:00,3.39,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
21,21,489436,22107,PIZZA PLATE IN BOX,4,2009-12-01 09:06:00,3.75,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
22,22,489436,22194,BLACK DINER WALL CLOCK,2,2009-12-01 09:06:00,8.5,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
23,23,489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,2009-12-01 09:06:00,4.65,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
24,24,489436,82582,AREA PATROLLED METAL SIGN,12,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
25,25,489436,21181,PLEASE ONE PERSON  METAL SIGN,12,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
26,26,489436,21756,BATH BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
27,27,489436,21333,CLASSIC WHITE FRAME,6,2009-12-01 09:06:00,2.95,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
28,28,489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2009-12-01 09:06:00,1.25,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
29,29,489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,2009-12-01 09:06:00,1.25,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
30,30,489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2009-12-01 09:06:00,4.25,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
31,31,489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,2009-12-01 09:08:00,2.1,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
32,32,489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6,2009-12-01 09:08:00,2.1,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
33,33,489437,22130,PARTY CONE CHRISTMAS DECORATION ,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
34,34,489437,21364,PEACE SMALL WOOD LETTERS,2,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
35,35,489437,21360,JOY LARGE WOOD LETTERS,1,2009-12-01 09:08:00,9.95,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
36,36,489437,21351,CINAMMON & ORANGE WREATH,2,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
37,37,489437,21352,EUCALYPTUS & PINECONE  WREATH,2,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
38,38,489437,35400,WOODEN BOX ADVENT CALENDAR ,2,2009-12-01 09:08:00,8.95,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
39,39,489437,20695,FLORAL BLUE MONSTER,3,2009-12-01 09:08:00,4.25,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
40,40,489437,37370,RETRO COFFEE MUGS ASSORTED,12,2009-12-01 09:08:00,1.25,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
41,41,489437,10002,INFLATABLE POLITICAL GLOBE ,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
42,42,489437,84507B,STRIPES DESIGN MONKEY DOLL,6,2009-12-01 09:08:00,2.55,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
43,43,489437,20703,BLUE PADDED SOFT MOBILE,3,2009-12-01 09:08:00,4.25,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
44,44,489437,21987,PACK OF 6 SKULL PAPER CUPS,12,2009-12-01 09:08:00,0.65,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
45,45,489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
46,46,489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
47,47,489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2009-12-01 09:08:00,1.25,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
48,48,489437,22271,FELTCRAFT DOLL ROSIE,6,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
49,49,489437,22272,FELTCRAFT DOLL MARIA,6,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
50,50,489437,22274,FELTCRAFT DOLL EMILY,6,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
51,51,489437,21912,VINTAGE SNAKES & LADDERS,4,2009-12-01 09:08:00,3.75,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
52,52,489437,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2009-12-01 09:08:00,4.95,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
53,53,489437,22112,CHOCOLATE HOT WATER BOTTLE,3,2009-12-01 09:08:00,4.95,15362.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:08,09:08,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
54,54,489438,21329,DINOSAURS  WRITING SET ,28,2009-12-01 09:24:00,0.98,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
55,55,489438,21252,SET OF MEADOW  FLOWER STICKERS,30,2009-12-01 09:24:00,1.69,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
56,56,489438,21100,CHARLIE AND LOLA CHARLOTTE BAG,30,2009-12-01 09:24:00,1.15,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
57,57,489438,21033,JUMBO BAG CHARLIE AND LOLA TOYS,30,2009-12-01 09:24:00,2.0,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
58,58,489438,20711,JUMBO BAG TOYS ,60,2009-12-01 09:24:00,1.3,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
59,59,489438,21410,COUNTRY COTTAGE  DOORSTOP GREEN,32,2009-12-01 09:24:00,2.5,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
60,60,489438,21411,GINGHAM HEART  DOORSTOP RED,32,2009-12-01 09:24:00,2.5,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
61,61,489438,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,56,2009-12-01 09:24:00,3.0,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
62,62,489438,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,56,2009-12-01 09:24:00,3.0,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
63,63,489438,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,60,2009-12-01 09:24:00,1.9,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
64,64,489438,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,56,2009-12-01 09:24:00,1.9,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
65,65,489438,84519A,TOMATO CHARLIE+LOLA COASTER SET,56,2009-12-01 09:24:00,2.15,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
66,66,489438,84519B,CARROT CHARLIE+LOLA COASTER SET,60,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
67,67,489438,85132A,CHARLIE + LOLA BISCUITS TINS,60,2009-12-01 09:24:00,6.38,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
68,68,489438,85132C,CHARLIE AND LOLA FIGURES TINS,60,2009-12-01 09:24:00,6.4,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
69,69,489438,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,60,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
70,70,489438,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,60,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:24,09:24,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
71,71,489439,22065,CHRISTMAS PUDDING TRINKET POT ,12,2009-12-01 09:28:00,1.45,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
72,72,489439,22138,BAKING SET 9 PIECE RETROSPOT ,9,2009-12-01 09:28:00,4.95,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
73,73,489439,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,9,2009-12-01 09:28:00,4.95,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
74,74,489439,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,12,2009-12-01 09:28:00,2.55,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
75,75,489439,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,3,2009-12-01 09:28:00,5.95,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
76,76,489439,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3,2009-12-01 09:28:00,5.95,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
77,77,489439,16161P,WRAP ENGLISH ROSE ,25,2009-12-01 09:28:00,0.42,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
78,78,489439,16169N,WRAP BLUE RUSSIAN FOLKART,25,2009-12-01 09:28:00,0.42,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
79,79,489439,21491,SET OF THREE VINTAGE GIFT WRAPS,6,2009-12-01 09:28:00,1.95,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
80,80,489439,22333,RETRO SPORT PARTY BAG + STICKER SET,8,2009-12-01 09:28:00,1.65,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
81,81,489439,85216,ASSORTED CAKES FRIDGE MAGNETS,12,2009-12-01 09:28:00,0.65,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
82,82,489439,21493, VINTAGE DESIGN GIFT TAGS,12,2009-12-01 09:28:00,0.85,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
83,83,489439,22130,PARTY CONE CHRISTMAS DECORATION ,24,2009-12-01 09:28:00,0.85,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
84,84,489439,22064,PINK DOUGHNUT TRINKET POT ,12,2009-12-01 09:28:00,1.65,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
85,85,489439,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2009-12-01 09:28:00,1.65,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
86,86,489439,85232B,SET/3 RUSSIAN DOLL STACKING TINS,6,2009-12-01 09:28:00,4.95,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
87,87,489439,84691,PACK 20 DOLLY PEGS,12,2009-12-01 09:28:00,0.85,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
88,88,489439,20749,ASSORTED COLOUR MINI CASES,2,2009-12-01 09:28:00,7.95,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
89,89,489439,POST,POSTAGE,3,2009-12-01 09:28:00,18.0,12682.0,France,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:28,09:28,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,Paris
90,90,489440,22350,CAT BOWL ,8,2009-12-01 09:43:00,2.55,18087.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:43,09:43,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
91,91,489440,22349,"DOG BOWL , CHASING BALL DESIGN",8,2009-12-01 09:43:00,3.75,18087.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:43,09:43,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
92,92,489441,22321,BIRD DECORATION RED SPOT,12,2009-12-01 09:44:00,0.72,18087.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:44,09:44,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
93,93,489441,22138,BAKING SET 9 PIECE RETROSPOT ,6,2009-12-01 09:44:00,4.25,18087.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:44,09:44,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
94,94,489441,84029E,RED WOOLLY HOTTIE WHITE HEART.,36,2009-12-01 09:44:00,2.95,18087.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:44,09:44,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
95,95,489441,22111,SCOTTIE DOG HOT WATER BOTTLE,48,2009-12-01 09:44:00,4.25,18087.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:44,09:44,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
96,96,489442,21955,UNION JACK GUNS & ROSES  DOORMAT,2,2009-12-01 09:46:00,6.75,13635.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:46,09:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
97,97,489442,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2009-12-01 09:46:00,4.95,13635.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:46,09:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
98,98,489442,22296,HEART IVORY TRELLIS LARGE,12,2009-12-01 09:46:00,1.65,13635.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:46,09:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
99,99,489442,84899E,YELLOW + BROWN BEAR FELT PURSE KIT,12,2009-12-01 09:46:00,1.25,13635.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:46,09:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
